mjd,flux,type
60274.67782,37.09,Filtered
60274.67782,1.873,Passthrough
60274.77503,46.0,Filtered
60274.77503,1.668,Passthrough
60283.11221,76.86,Filtered
60283.11221,2.533,Passthrough
60283.20942,36.48,Filtered
60283.20942,1.592,Passthrough
60283.30666,51.29,Filtered
60283.30666,2.184,Passthrough
60283.41273,38.37,Filtered
60283.41273,1.631,Passthrough
60283.50995,48.72,Filtered
60283.50995,1.895,Passthrough
60283.60716,35.43,Filtered
60283.60716,1.665,Passthrough
60288.01867,172.1,Filtered
60288.01867,6.041,Passthrough
60288.21309,36.02,Filtered
60288.21309,2.548,Passthrough
60288.31919,57.28,Filtered
60288.31919,2.277,Passthrough
60288.41640,66.99,Filtered
60288.41640,2.132,Passthrough
60288.51361,48.39,Filtered
60288.51361,1.957,Passthrough
60293.38779,48.7,Filtered
60293.38779,2.522,Passthrough
60293.68831,62.2,Filtered
60293.68831,2.582,Passthrough
60293.78652,51.82,Filtered
60293.78652,1.981,Passthrough
60293.88373,37.71,Filtered
60293.88373,2.052,Passthrough
60296.51308,59.28,Filtered
60296.51308,1.74,Passthrough
60296.61029,49.95,Filtered
60296.61029,2.138,Passthrough
60296.70750,51.22,Filtered
60296.70750,2.524,Passthrough
60296.81456,45.13,Filtered
60296.81456,2.054,Passthrough
60302.38185,34.73,Filtered
60302.38185,1.614,Passthrough
60302.47906,59.42,Filtered
60302.47906,1.941,Passthrough
60302.57627,45.51,Filtered
60302.57627,1.539,Passthrough
60302.68235,65.66,Filtered
60302.68235,2.189,Passthrough
60302.78054,43.31,Filtered
60302.78054,2.488,Passthrough
60302.87775,40.3,Filtered
60302.87775,2.163,Passthrough
60305.42966,44.29,Filtered
60305.42966,2.192,Passthrough
60305.52688,43.7,Filtered
60305.52688,2.274,Passthrough
60305.62409,64.66,Filtered
60305.62409,2.555,Passthrough
60305.73117,40.69,Filtered
60305.73117,1.955,Passthrough
60305.82839,88.05,Filtered
60305.82839,2.49,Passthrough
60305.92560,70.71,Filtered
60305.92560,2.745,Passthrough
60321.53612,42.0,Filtered
60321.53612,1.864,Passthrough
60321.63333,46.94,Filtered
60321.63333,1.933,Passthrough
60321.73153,49.61,Filtered
60321.73153,2.317,Passthrough
60321.83760,40.78,Filtered
60321.83760,2.429,Passthrough
60321.93481,45.69,Filtered
60321.93481,1.82,Passthrough
60322.03203,43.84,Filtered
60322.03203,1.474,Passthrough
60322.32391,56.48,Filtered
60322.32391,1.781,Passthrough
60322.51833,84.43,Filtered
60322.51833,3.843,Passthrough
60322.62443,41.14,Filtered
60322.62443,1.922,Passthrough
60322.72263,30.27,Filtered
60322.72263,2.368,Passthrough
60322.81984,53.2,Filtered
60322.81984,2.419,Passthrough