name,ra,dec, xsize, ysize
SN2017cbv,218.143417,-44.134094,10,10
SN2013aa,218.14117,-44.224389,10,10
OGLE-2013-NOVA-02,89.4933,-74.9026,10,10
SN2023zcu,90.2785,-23.674789,10,10
SN2023mkt,229.561418623,-24.0867933248,10,10
SN2023dtc,128.32323,-22.9625088889,10,10
SN2023cv,228.3699532,-20.6810946,10,10
SN2022qhy,90.287167,-23.666619,10,10
SN2021uha,149.592042,-25.160281,10,10
SN2021tkm,217.923299,-43.414322,10,10
SN2021mwj,144.17412375,-21.14641625,10,10
SN2020fsb,234.765875,-25.974539,10,10
SN2019vsa,181.448414286,-27.9440721429,10,10
SN2018pq,193.88038,-50.05471,10,10
SN2017iyb,92.23672111,-27.79582667,10,10
SN2016hsc,98.1048,-71.5678,10,10
SN2013cg,141.73654,-24.783222,10,10
SN2012hn,100.6773,-27.4472,10,10
SN2005cn,199.50192,-26.80919,10,10
SN2004be,150.081125,-24.803833,10,10
SN2001fz,101.209417,-27.620194,10,10
SN1999gh,146.08229,-21.27361,10,10
SN1998bn,187.32867,-23.16367,10,10
SN1998A,167.45971,-23.72864,10,10
SN1997br,200.17667,-22.03675,10,10
SN1996Z,144.18675,-21.14769,10,10
NSN2,212.5976,-43.3121,10,10
AT2022yzn,96.987792,-25.393292,10,10
AT2021nzz,199.73579,-21.04392,10,10
SN2020ukx,138.085651111,-24.17207,10,10
AT2020nqq,201.435208,-43.003561,10,10
SN2019xis,84.0570833333,-69.2735277778,10,10
AT2018htr,3.533167,-23.169364,10,10
AT2018bwo,3.507042,-23.193114,10,10
AT2018aqd,127.62932,-67.24865,10,10
SN2017izl,199.980583,-47.284661,10,10
AT2016iyr,173.4079,-42.2484,10,10
SN2016adj,201.350458,-43.015972,10,10
SN2011ja,196.296333,-49.524167,10,10
SN1987A,83.86662,-69.26986,10,10
SN1986G,201.40212,-43.03172,10,10
NSN3,105.6486,-72.8046,10,10
SN2022ame,48.389625,-25.722194,10,10
AT2021ablz,35.749404,-21.237514,10,10
SN2021yja,51.088225,-21.56561875,10,10
SN2021jad,83.342404,-21.951819,10,10
AT2020pju,54.374667,-24.50115,10,10
SN2019esa,118.753704,-76.411975,10,10
SN2017fzw,95.394875,-27.214864,10,10
SN2016jbu,114.1082,-69.5487,10,10
SN2015J,113.7716,-69.1314,10,10
SN2015F,114.0657,-69.5064,10,10
SN2012hb,135.52275,-64.9054805555556,10,10
SN2007Y,45.64967,-22.89725,10,10
SN2006ce,35.7276,-21.2415,10,10
SN2005ke,53.76813,-24.94411,10,10
SN2003if,49.96921,-26.06403,10,10
SN2003hv,46.03883,-26.08542,10,10
SN1999ga,114.06958,-69.55606,10,10
SN1995ad,90.27554,-23.67472,10,10
SN1994ai,35.77571,-21.23286,10,10
SN1990aj,70.56379,-20.42167,10,10
SN1990K,8.55858,-27.79631,10,10
SN2024fa,36.255712664,-24.7868458611,10,10
SN2023ysa,189.813333,-26.907719,10,10
SN2023xqm,158.645762,-27.650936,10,10
SN2023hym,213.396583,-45.429111,10,10
SN2022ewg,192.040158,-43.660922,10,10
SN2022crv,148.607875,-25.703075,10,10
SN2022btu,193.560167,-24.43395,10,10
SN2021afuq,156.966642,-43.901861,10,10
SN2021aks,164.7201875,-49.9638,10,10
SN2020tjd,86.5207556706,-23.5660262348,10,10
SN2020ga,208.6015,-48.51238,10,10
SN2019eez,94.0926208333,-21.35995,10,10
SN2018lab,94.110525,-21.375683,10,10
SN2018ld,106.1595,-23.59105,10,10
SN2018ec,156.961542,-43.90175,10,10
AT2017gfo,197.450371,-23.381486,10,10
SN2017cyy,144.15125,-63.948522,10,10
SN2016gwl,140.8667,-23.1697,10,10
SN2016gsb,91.1172,-20.3403,10,10
SN2016eiy,203.661,-23.6814,10,10
SN2016cdd,187.973483,-51.747453,10,10
SN2013ai,94.0765,-21.3758,10,10
SN2010jp,94.12762,-21.41008,10,10
SN2006T,148.625875,-25.708139,10,10
SN2003H,94.107,-21.373278,10,10
SN1999ec,94.06733,-21.36939,10,10
SN1996X,199.50471,-26.84592,10,10
SN1993K,96.1575,-22.830556,10,10
NSN5,259.9303,-77.3585,10,10
NSN6,233.3933,-78.1231,10,10